Id,Title,Labels,Iteration,Iteration Start,Iteration End,Type,Estimate,Current State,Created at,Accepted at,Deadline,Requested By,Description,URL,GitHub ID,Integration,Owned By
134631659,Add Driver Record,driver,1,"Dec 5, 2016","Dec 23, 2016",feature,3,unstarted,"Nov 15, 2016",,,Weng Keong Tham,"As a driver,I am required to add driver username, password, full name, ic number(unique), contact number(unique), email address(unique), home address, taxi company name, taxi plate number(unique), date of birth, license expiry date into database so that the database will register my detail as new driver.",https://www.pivotaltracker.com/story/show/134631659,,,Weng Keong Tham
134991535,Customer Monthly Summary Report,report,1,"Dec 5, 2016","Dec 23, 2016",feature,1,unstarted,"Nov 15, 2016",,,Liew Ken Hieng,Allow staff to generate or view customer monthly summary report by selecting the desire month.,https://www.pivotaltracker.com/story/show/134991535,,,Liew Ken Hieng
134991547,Customer Yearly Summary Report,report,1,"Dec 5, 2016","Dec 23, 2016",feature,1,unstarted,"Nov 15, 2016",,,Liew Ken Hieng,Allow manager to generate or view customer yearly summary report by selecting the desire year.,https://www.pivotaltracker.com/story/show/134991547,,,Liew Ken Hieng
134992013,Reservation Exception Report,report,1,"Dec 5, 2016","Dec 23, 2016",feature,1,unstarted,"Nov 15, 2016",,,Lee Yi Hao,Allow manager to generate or view reservation exception report by selecting the desire year and month.,https://www.pivotaltracker.com/story/show/134992013,,,Lee Yi Hao
134991995,Reservation Monthly Summary Report,report,1,"Dec 5, 2016","Dec 23, 2016",feature,1,unstarted,"Nov 15, 2016",,,Lee Yi Hao,Allow manager to generate or view reservation monthly summary report by selecting the desire month.,https://www.pivotaltracker.com/story/show/134991995,,,Lee Yi Hao
134631509,Cancel Payment Record,payment,1,"Dec 5, 2016","Dec 23, 2016",feature,2,unstarted,"Nov 15, 2016",,,lzx,"As a customer, I can delete the payment details according to the payment date so that the oldest payment records can be deleted.",https://www.pivotaltracker.com/story/show/134631509,,,lzx
134991421,Driver Login,login,1,"Dec 5, 2016","Dec 23, 2016",feature,3,unstarted,"Nov 15, 2016",,,Liew Ken Hieng,"1. As a driver, I am required to enter username to login.
2. As a driver, I am required to enter password to login.",https://www.pivotaltracker.com/story/show/134991421,,,Liew Ken Hieng
134991505,Customer Password Recovery,login,1,"Dec 5, 2016","Dec 23, 2016",feature,2,unstarted,"Nov 15, 2016",,,Liew Ken Hieng,"1. As a customer, I am required to enter username and email address so that the system will send the new password through email.
2. As a customer, I am allowed to change password by entering new password so that I can login using new password.",https://www.pivotaltracker.com/story/show/134991505,,,Liew Ken Hieng
134991513,Driver Password Recovery,login,1,"Dec 5, 2016","Dec 23, 2016",feature,2,unstarted,"Nov 15, 2016",,,Liew Ken Hieng,"1. As a driver, I am required to enter username and email address so that the system will send the new password through email.
2. As a driver, I am allowed to change password by entering new password so that I can login using new password.",https://www.pivotaltracker.com/story/show/134991513,,,Liew Ken Hieng
134991413,Customer Login,login,1,"Dec 5, 2016","Dec 23, 2016",feature,3,unstarted,"Nov 15, 2016",,,Liew Ken Hieng,"1. As a customer, I am required to enter username so that I can login.
2. As a customer, I am required to enter password so that I can login.",https://www.pivotaltracker.com/story/show/134991413,,,Liew Ken Hieng
